[run number];awareness-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
1;500;[step];8000;0;8000;4000;8000
1;;mean [digital-knowledge] of citizens;77,67172788;20,63946718;77,90577076;66,41927755;8000
1;;cumulative-victims;16030;0;16030;8894,829771;8000
1;;ema-success-rate;0,047556073;0;0,169936512;0,06813441;8000
1;;vulnerability-index;0;0;0,47;0,019328417;8000
1;;expert-index;0,92;0;0,92;0,509725451;8000
1;;attackers-jail;9;0;28;10,45094363;8000
1;;attackers-free;31;12;40;29,54905637;8000
1;;mean [last-payoff] of attackers;-3,2;-5,3;3;-2,017910261;8000
1;;mean [aspiration-payoff] of attackers;-3,364712986;-4,084723162;0,01;-2,58277234;8000
2;500;[step];8000;0;8000;4000;8000
2;;mean [digital-knowledge] of citizens;78,51091412;19,10756075;79,22396997;66,93417876;8000
2;;cumulative-victims;16189;0;16189;9008,776653;8000
2;;ema-success-rate;0,054579574;0;0,160213469;0,065623429;8000
2;;vulnerability-index;0;0;0,53;0,022404283;8000
2;;expert-index;0,92;0;0,956666667;0,53445486;8000
2;;attackers-jail;8;0;29;10,0096238;8000
2;;attackers-free;32;11;40;29,9903762;8000
2;;mean [last-payoff] of attackers;-1,5;-5,7;2,5;-2,102699663;8000
2;;mean [aspiration-payoff] of attackers;-2,688624508;-4,22370935;0,01;-2,670481368;8000
3;500;[step];8000;0;8000;4000;8000
3;;mean [digital-knowledge] of citizens;77,32283999;20,21812733;78,52121352;66,68646841;8000
3;;cumulative-victims;16052;0;16052;8946,189976;8000
3;;ema-success-rate;0,05692876;0;0,154039387;0,066582613;8000
3;;vulnerability-index;0;0;0,523333333;0,019079698;8000
3;;expert-index;0,89;0;0,94;0,517035371;8000
3;;attackers-jail;7;0;26;9,934508186;8000
3;;attackers-free;33;14;40;30,06549181;8000
3;;mean [last-payoff] of attackers;-1,2;-5,2;2,9;-2,05168104;8000
3;;mean [aspiration-payoff] of attackers;-2,859303853;-3,689303064;0,01;-2,622584899;8000
4;500;[step];8000;0;8000;4000;8000
4;;mean [digital-knowledge] of citizens;78,9011447;20,65427359;78,9011447;66,79864376;8000
4;;cumulative-victims;16176;0;16176;8976,544807;8000
4;;ema-success-rate;0,053595043;0;0,15564071;0,067087633;8000
4;;vulnerability-index;0;0;0,496666667;0,018704329;8000
4;;expert-index;0,943333333;0;0,943333333;0,519449652;8000
4;;attackers-jail;7;0;25;10,17610299;8000
4;;attackers-free;33;15;40;29,82389701;8000
4;;mean [last-payoff] of attackers;-2,2;-5,4;2,6;-2,041132358;8000
4;;mean [aspiration-payoff] of attackers;-3,20960854;-3,976942099;0,06438;-2,59063203;8000
5;500;[step];8000;0;8000;4000;8000
5;;mean [digital-knowledge] of citizens;77,65516221;21,09644291;78,47161943;66,49024539;8000
5;;cumulative-victims;15958;0;15958;8841,96038;8000
5;;ema-success-rate;0,055745687;0;0,165126365;0,066284193;8000
5;;vulnerability-index;0;0;0,456666667;0,019431738;8000
5;;expert-index;0,903333333;0;0,916666667;0,509386743;8000
5;;attackers-jail;7;0;26;10,29858768;8000
5;;attackers-free;33;14;40;29,70141232;8000
5;;mean [last-payoff] of attackers;-2,5;-5,4;2,6;-2,061354831;8000
5;;mean [aspiration-payoff] of attackers;-2,998844684;-3,984327272;0,046182815;-2,631839065;8000
6;500;[step];8000;0;8000;4000;8000
6;;mean [digital-knowledge] of citizens;78,5168454;20,04002983;79,32170603;67,20011291;8000
6;;cumulative-victims;16145;0;16145;8989,989126;8000
6;;ema-success-rate;0,05108551;0;0,155197933;0,065837011;8000
6;;vulnerability-index;0;0;0,523333333;0,019537558;8000
