[run number];awareness-frecuency;awareness-intensity;[reporter];[final];[min];[max];[mean];[total steps]
1;1000;0,1;[step];8000;0;8000;4000;8000
1;;;mean [digital-knowledge] of citizens;61,23506591;19,75364284;63,22485101;51,24199024;8000
1;;;cumulative-victims;20338;0;20338;10936,40045;8000
1;;;ema-success-rate;0,074592084;0;0,166490868;0,09648437;8000
1;;;vulnerability-index;0;0;0,516666667;0,035708453;8000
1;;;expert-index;0,146666667;0;0,26;0,071903095;8000
1;;;attackers-jail;14;0;25;12,74215723;8000
1;;;attackers-free;26;15;40;27,25784277;8000
1;;;mean [last-payoff] of attackers;-2,2;-4,3;3,3;-1,310086239;8000
1;;;mean [aspiration-payoff] of attackers;-2,157929002;-2,787481724;0,274242061;-1,767487743;8000
2;1000;0,1;[step];8000;0;8000;4000;8000
2;;;mean [digital-knowledge] of citizens;60,48771053;18,9052811;61,76078948;50,17569405;8000
2;;;cumulative-victims;20378;0;20378;10931,73191;8000
2;;;ema-success-rate;0,0953382;0;0,161165905;0,099358397;8000
2;;;vulnerability-index;0;0;0,536666667;0,037349081;8000
2;;;expert-index;0,133333333;0;0,2;0,061652293;8000
2;;;attackers-jail;13;0;23;13,35420572;8000
2;;;attackers-free;27;17;40;26,64579428;8000
2;;;mean [last-payoff] of attackers;-1,7;-4,8;2,7;-1,242044744;8000
2;;;mean [aspiration-payoff] of attackers;-1,496012997;-2,868209258;0,01;-1,693776819;8000
3;1000;0,1;[step];8000;0;8000;4000;8000
3;;;mean [digital-knowledge] of citizens;61,08707062;19,45573717;61,08707062;50,72029283;8000
3;;;cumulative-victims;20344;0;20344;10912,52568;8000
3;;;ema-success-rate;0,080483515;0;0,161052404;0,097754051;8000
3;;;vulnerability-index;0;0;0,546666667;0,036814565;8000
3;;;expert-index;0,176666667;0;0,176666667;0,061281506;8000
3;;;attackers-jail;11;0;24;12,74128234;8000
3;;;attackers-free;29;16;40;27,25871766;8000
3;;;mean [last-payoff] of attackers;-1,6;-7,1;2,4;-1,287551556;8000
3;;;mean [aspiration-payoff] of attackers;-2,339628855;-2,664102298;0,01;-1,72882243;8000
4;1000;0,1;[step];8000;0;8000;4000;8000
4;;;mean [digital-knowledge] of citizens;61,94725854;19,58024592;61,94725854;50,31458551;8000
4;;;cumulative-victims;20407;0;20407;10904,7879;8000
4;;;ema-success-rate;0,090830625;0;0,177944741;0,099545816;8000
4;;;vulnerability-index;0,003333333;0;0,546666667;0,039834604;8000
4;;;expert-index;0,21;0;0,21;0,06850477;8000
4;;;attackers-jail;17;0;23;13,03012123;8000
4;;;attackers-free;23;17;40;26,96987877;8000
4;;;mean [last-payoff] of attackers;-0,5;-5,5;3,2;-1,259092613;8000
4;;;mean [aspiration-payoff] of attackers;-1,987075782;-2,804203128;0,218952326;-1,701801192;8000
5;1000;0,1;[step];8000;0;8000;4000;8000
5;;;mean [digital-knowledge] of citizens;62,97522197;20,58765989;62,97522197;50,77084507;8000
5;;;cumulative-victims;20369;0;20369;10855,36858;8000
5;;;ema-success-rate;0,078604787;0;0,163251928;0,098012624;8000
5;;;vulnerability-index;0;0;0,496666667;0,041583969;8000
5;;;expert-index;0,236666667;0;0,236666667;0,076180894;8000
5;;;attackers-jail;6;0;27;12,83664542;8000
5;;;attackers-free;34;13;40;27,16335458;8000
5;;;mean [last-payoff] of attackers;-1,3;-5,1;2,8;-1,303462067;8000
5;;;mean [aspiration-payoff] of attackers;-2,067232052;-2,795391601;0,01;-1,761919199;8000
6;1000;0,1;[step];8000;0;8000;4000;8000
6;;;mean [digital-knowledge] of citizens;59,2706731;20,04272213;62,91662111;50,2204849;8000
6;;;cumulative-victims;20205;0;20205;10847,78265;8000
6;;;ema-success-rate;0,083160489;0;0,176808929;0,099029797;8000
6;;;vulnerability-index;0;0;0,49;0,045668875;8000
6;;;expert-index;0,103333333;0;0,226666667;0,067044536;8000
6;;;attackers-jail;10;0;29;13,3208349;8000
6;;;attackers-free;30;11;40;26,6791651;8000
6;;;mean [last-payoff] of attackers;-2,2;-4,1;3,9;-1,265854268;8000
6;;;mean [aspiration-payoff] of attackers;-1,828824811;-2,737396612;0,03713204;-1,714180345;8000
7;1000;0,1;[step];8000;0;8000;4000;8000
7;;;mean [digital-knowledge] of citizens;61,47632696;19,38464852;61,47632696;50,66316907;8000
7;;;cumulative-victims;20393;0;20393;10923,84377;8000
7;;;ema-success-rate;0,090494091;0;0,171064435;0,098467267;8000
7;;;vulnerability-index;0;0;0,533333333;0,045887181;8000
7;;;expert-index;0,19;0;0,19;0,072662167;8000
7;;;attackers-jail;10;0;28;13,15023122;8000
7;;;attackers-free;30;12;40;26,84976878;8000
7;;;mean [last-payoff] of attackers;-1,2;-6,1;2,6;-1,278377703;8000
7;;;mean [aspiration-payoff] of attackers;-1,598294443;-2,877508831;0,162159754;-1,761394368;8000
8;1000;0,1;[step];8000;0;8000;4000;8000
8;;;mean [digital-knowledge] of citizens;60,4609668;19,57267308;60,4609668;51,01545635;8000
8;;;cumulative-victims;20296;0;20296;10912,16985;8000
8;;;ema-success-rate;0,077795368;0;0,153576184;0,096304753;8000
8;;;vulnerability-index;0;0;0,523333333;0,029233846;8000
8;;;expert-index;0,186666667;0;0,186666667;0,05219056;8000
8;;;attackers-jail;12;0;22;12,87851519;8000
8;;;attackers-free;28;18;40;27,12148481;8000
8;;;mean [last-payoff] of attackers;-1,9;-4,6;3,3;-1,295450569;8000
8;;;mean [aspiration-payoff] of attackers;-2,067580893;-2,726590755;0,135374;-1,790088939;8000
9;1000;0,1;[step];8000;0;8000;4000;8000
9;;;mean [digital-knowledge] of citizens;62,51853679;19,96577288;62,51853679;50,85440184;8000
9;;;cumulative-victims;20408;0;20408;10917,27322;8000
9;;;ema-success-rate;0,080309112;0;0,169495658;0,098325739;8000
9;;;vulnerability-index;0;0;0,496666667;0,038091489;8000
