[run number];train-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
1;500;[step];8000;0;8000;4000;8000
1;;mean [digital-knowledge] of citizens;74,05498953;20,48454631;74,30236701;62,85990364;8000
1;;cumulative-victims;16875;0;16875;9276,471191;8000
1;;ema-success-rate;0,065904156;0;0,164745518;0,074327782;8000
1;;vulnerability-index;0;0;0,513333333;0,039039703;8000
1;;expert-index;0,593333333;0;0,6;0,420647836;8000
1;;attackers-jail;13;0;26;11,28471441;8000
1;;attackers-free;27;14;40;28,71528559;8000
1;;mean [last-payoff] of attackers;-0,4;-5,1;2,7;-1,831246094;8000
1;;mean [aspiration-payoff] of attackers;-2,517533436;-3,606998711;0,187432892;-2,411921439;8000
2;500;[step];8000;0;8000;4000;8000
2;;mean [digital-knowledge] of citizens;74,07173326;20,18852298;74,74655132;62,17259754;8000
2;;cumulative-victims;16952;0;16952;9259,738283;8000
2;;ema-success-rate;0,065230423;0;0,164802369;0,075397166;8000
2;;vulnerability-index;0;0;0,5;0,043602466;8000
2;;expert-index;0,576666667;0;0,65;0,412625505;8000
2;;attackers-jail;12;0;27;11,08998875;8000
2;;attackers-free;28;13;40;28,91001125;8000
2;;mean [last-payoff] of attackers;-1,5;-4,8;2,2;-1,792863392;8000
2;;mean [aspiration-payoff] of attackers;-2,546764071;-3,474339616;0,01;-2,333981727;8000
3;500;[step];8000;0;8000;4000;8000
3;;mean [digital-knowledge] of citizens;74,42856611;19,04783338;74,92217987;63,65785841;8000
3;;cumulative-victims;17021;0;17021;9398,934633;8000
3;;ema-success-rate;0,060263559;0;0,162564221;0,07208682;8000
3;;vulnerability-index;0;0;0,513333333;0,03455943;8000
3;;expert-index;0,613333333;0;0,64;0,435506395;8000
3;;attackers-jail;6;0;22;10,31396075;8000
3;;attackers-free;34;18;40;29,68603925;8000
3;;mean [last-payoff] of attackers;-3,6;-5;2,9;-1,901049869;8000
3;;mean [aspiration-payoff] of attackers;-2,515159573;-3,709608328;0,0630085;-2,412916311;8000
4;500;[step];8000;0;8000;4000;8000
4;;mean [digital-knowledge] of citizens;75,18474606;19,93143884;75,18474606;62,94748575;8000
4;;cumulative-victims;17019;0;17019;9318,151231;8000
4;;ema-success-rate;0,063376634;0;0,167441544;0,073621605;8000
4;;vulnerability-index;0;0;0,496666667;0,039239678;8000
4;;expert-index;0,616666667;0;0,626666667;0,420174145;8000
4;;attackers-jail;14;0;25;10,78702662;8000
4;;attackers-free;26;15;40;29,21297338;8000
4;;mean [last-payoff] of attackers;-1;-5,3;3,5;-1,86127984;8000
4;;mean [aspiration-payoff] of attackers;-2,911381783;-3,541688153;0,35347525;-2,391299753;8000
