[run number];train-frecuency;training-intensity;training-shares;[reporter];[final];[min];[max];[mean];[total steps]
1;1000;1,6;0,1;[step];8000;0;8000;4000;8000
1;;;;mean [digital-knowledge] of citizens;63,36392829;19,65890955;63,36392829;51,58154069;8000
1;;;;cumulative-victims;20434;0;20434;10942,3912;8000
1;;;;ema-success-rate;0,080366779;0;0,162223528;0,096778409;8000
1;;;;vulnerability-index;0;0;0,503333333;0,045294755;8000
1;;;;expert-index;0,233333333;0;0,26;0,142710495;8000
1;;;;attackers-jail;9;0;25;12,97425322;8000
1;;;;attackers-free;31;15;40;27,02574678;8000
1;;;;mean [last-payoff] of attackers;-3,7;-4,4;2,1;-1,319085114;8000
1;;;;mean [aspiration-payoff] of attackers;-2,194258923;-2,86359362;0,23805634;-1,784664931;8000
2;1000;1,6;0,1;[step];8000;0;8000;4000;8000
2;;;;mean [digital-knowledge] of citizens;61,85021644;19,92742927;61,86275215;50,98865222;8000
2;;;;cumulative-victims;20428;0;20428;10941,93238;8000
2;;;;ema-success-rate;0,085610894;0;0,163370283;0,098131124;8000
2;;;;vulnerability-index;0;0;0,493333333;0,045589718;8000
2;;;;expert-index;0,23;0;0,25;0,137645294;8000
2;;;;attackers-jail;12;0;24;12,96250469;8000
2;;;;attackers-free;28;16;40;27,03749531;8000
2;;;;mean [last-payoff] of attackers;0;-4,7;3,1;-1,286426697;8000
2;;;;mean [aspiration-payoff] of attackers;-2,282603582;-2,728414538;0,114749465;-1,751250118;8000
3;1000;1,6;0,1;[step];8000;0;8000;4000;8000
3;;;;mean [digital-knowledge] of citizens;62,97059376;20,52836836;62,97059376;51,93158869;8000
3;;;;cumulative-victims;20363;0;20363;10917,33171;8000
3;;;;ema-success-rate;0,075294141;0;0,155372692;0,095686406;8000
3;;;;vulnerability-index;0;0;0,48;0,038326043;8000
3;;;;expert-index;0,246666667;0;0,26;0,145063117;8000
3;;;;attackers-jail;10;0;25;12,54355706;8000
3;;;;attackers-free;30;15;40;27,45644294;8000
3;;;;mean [last-payoff] of attackers;-1,7;-6,1;2,9;-1,352543432;8000
3;;;;mean [aspiration-payoff] of attackers;-2,119639088;-2,908419662;0,01;-1,815558691;8000
4;1000;1,6;0,1;[step];8000;0;8000;4000;8000
4;;;;mean [digital-knowledge] of citizens;60,94433892;19,64451489;62,57527267;49,45593326;8000
4;;;;cumulative-victims;20350;0;20350;10861,83852;8000
4;;;;ema-success-rate;0,080873854;0;0,162835889;0,10020566;8000
4;;;;vulnerability-index;0;0;0,493333333;0,054962296;8000
4;;;;expert-index;0,21;0;0,266666667;0,132000583;8000
4;;;;attackers-jail;17;0;29;13,59205099;8000
4;;;;attackers-free;23;11;40;26,40794901;8000
4;;;;mean [last-payoff] of attackers;-1,9;-4,6;6,1;-1,224484439;8000
4;;;;mean [aspiration-payoff] of attackers;-2,147654433;-2,88921068;0,59132135;-1,708808529;8000
5;1000;1,6;0,1;[step];8000;0;8000;4000;8000
5;;;;mean [digital-knowledge] of citizens;61,12082921;20,03061944;62,40347327;49,83306146;8000
5;;;;cumulative-victims;20366;0;20366;10848,28596;8000
5;;;;ema-success-rate;0,098350308;0;0,162750321;0,100709578;8000
5;;;;vulnerability-index;0;0;0,523333333;0,063577053;8000
5;;;;expert-index;0,193333333;0;0,253333333;0,137560722;8000
5;;;;attackers-jail;13;0;30;13,55593051;8000
5;;;;attackers-free;27;10;40;26,44406949;8000
5;;;;mean [last-payoff] of attackers;-1,2;-5;4,6;-1,229071366;8000
5;;;;mean [aspiration-payoff] of attackers;-1,914239307;-2,644411194;0,0904145;-1,684881207;8000
6;1000;1,6;0,1;[step];8000;0;8000;4000;8000
6;;;;mean [digital-knowledge] of citizens;62,22149492;20,33602725;62,22149492;51,0567994;8000
6;;;;cumulative-victims;20438;0;20438;10924,95163;8000
6;;;;ema-success-rate;0,080813407;0;0,153815049;0,0978737;8000
6;;;;vulnerability-index;0;0;0,48;0,049086781;8000
6;;;;expert-index;0,22;0;0,233333333;0,137139108;8000
6;;;;attackers-jail;11;0;30;13,09136358;8000
6;;;;attackers-free;29;10;40;26,90863642;8000
6;;;;mean [last-payoff] of attackers;-4,2;-4,2;4,4;-1,290176228;8000
6;;;;mean [aspiration-payoff] of attackers;-2,38480888;-2,936187235;0,1153395;-1,729237556;8000
7;1000;1,6;0,1;[step];8000;0;8000;4000;8000
7;;;;mean [digital-knowledge] of citizens;61,37538443;20,9744528;61,37538443;50,69086607;8000
7;;;;cumulative-victims;20296;0;20296;10855,44407;8000
7;;;;ema-success-rate;0,084827162;0;0,168679639;0,098548827;8000
7;;;;vulnerability-index;0;0;0,446666667;0,047141607;8000
7;;;;expert-index;0,236666667;0;0,243333333;0,143658293;8000
7;;;;attackers-jail;10;0;30;13,01662292;8000
7;;;;attackers-free;30;10;40;26,98337708;8000
7;;;;mean [last-payoff] of attackers;-1,6;-4,2;2,3;-1,27647794;8000
7;;;;mean [aspiration-payoff] of attackers;-1,947702305;-2,809691376;0,07471178;-1,723889409;8000
8;1000;1,6;0,1;[step];8000;0;8000;4000;8000
8;;;;mean [digital-knowledge] of citizens;62,1893577;18,49903769;62,1893577;49,89076443;8000
8;;;;cumulative-victims;20486;0;20486;10950,45507;8000
8;;;;ema-success-rate;0,088439716;0;0,169103754;0,101128894;8000
8;;;;vulnerability-index;0;0;0,556666667;0,057603633;8000
8;;;;expert-index;0,23;0;0,246666667;0,13247719;8000
8;;;;attackers-jail;12;0;23;13,23684539;8000
8;;;;attackers-free;28;17;40;26,76315461;8000
8;;;;mean [last-payoff] of attackers;-0,2;-4,3;3,3;-1,215935508;8000
8;;;;mean [aspiration-payoff] of attackers;-2,265754301;-2,605813077;0,071196426;-1,670116266;8000
9;1000;1,6;0,1;[step];8000;0;8000;4000;8000
9;;;;mean [digital-knowledge] of citizens;62,28714971;19,2055334;62,28714971;50,00690968;8000
9;;;;cumulative-victims;20381;0;20381;10873,8254;8000
9;;;;ema-success-rate;0,088304395;0;0,166027963;0,098811981;8000
9;;;;vulnerability-index;0,003333333;0;0,543333333;0,05298921;8000
9;;;;expert-index;0,26;0;0,26;0,12840395;8000
